S.No.,Location,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,Ageofcar,Brand_Class,Kilometers_Driven_log,Price_log
29,Mumbai,262000,Diesel,Manual,Fourth & Above,12.8,2494,102.0,7.0,4.0,14,Low,12.476099782743233,1.3862943611198906
30,Bangalore,62000,Diesel,Manual,First,19.01,1461,108.45,5.0,7.75,8,Low,11.03488966402723,2.0476928433652555
31,Delhi,87615,Petrol,Manual,First,14.53,1798,138.1,5.0,6.75,9,Low,11.38070749514252,1.9095425048844386
32,Bangalore,72000,Diesel,Automatic,Second,11.18,2696,184.0,7.0,12.5,8,Low,11.184421397998193,2.5257286443082556
33,Kolkata,35000,Diesel,Automatic,First,12.4,2698,179.5,5.0,11.5,11,High,10.46310334047155,2.4423470353692043
34,Coimbatore,55431,Petrol,Manual,Second,16.09,1598,103.5,5.0,6.98,7,High,10.922894283023263,1.9430489167742813
35,Jaipur,83816,Petrol,Manual,Second,14.0,1061,64.0,5.0,1.85,12,Low,11.3363791990328,0.6151856390902335
36,Kochi,50075,Diesel,Manual,First,24.3,1248,88.5,5.0,8.63,3,Low,10.821277160534018,2.155244505095337
37,Delhi,52000,Petrol,Manual,First,18.15,1198,82.0,5.0,4.85,4,Low,10.858998997563564,1.5789787049493917
38,Pune,85000,Diesel,Automatic,First,11.74,2987,254.8,5.0,28.0,8,High,11.350406535472453,3.332204510175204
39,Chennai,62000,Diesel,Manual,First,22.07,1199,73.9,5.0,5.0,8,High,11.03488966402723,1.6094379124341003
40,Delhi,90000,Petrol,Manual,Second,19.7,796,46.3,5.0,1.25,13,Low,11.407564949312402,0.22314355131420976
41,Kochi,19698,Petrol,Manual,First,25.4,624,37.5,4.0,1.53,7,Low,9.888272386729648,0.4252677354043441
42,Coimbatore,22033,Diesel,Manual,First,25.32,1198,77.0,6.0,5.58,4,Low,10.000296608464188,1.7191887763932197
43,Kochi,35487,Petrol,Manual,First,18.5,1197,82.9,5.0,4.74,7,Low,10.476921711213846,1.556037135706985
44,Bangalore,46374,Petrol,Automatic,First,14.62,1999,149.92,5.0,8.85,7,Low,10.744494236334926,2.180417459019838
45,Mumbai,52001,Petrol,Automatic,First,14.28,1798,138.03,5.0,10.11,5,Low,10.859018228147887,2.3135250330323798
46,Ahmedabad,58005,Diesel,Manual,Second,14.9,1991,112.2,5.0,4.25,13,Low,10.968284492709508,1.4469189829363254
47,Bangalore,70704,Petrol,Manual,First,11.25,2694,163.7,7.0,10.95,9,Low,11.166257427370521,2.3933394562625097
48,Jaipur,75000,Diesel,Manual,First,24.4,1120,71.0,5.0,3.85,7,Low,11.225243392518447,1.3480731482996928
49,Jaipur,75800,Diesel,Manual,Second,16.55,2498,105.0,6.0,5.5,9,Low,11.235853571630463,1.7047480922384253
50,Kochi,13648,Diesel,Automatic,First,17.11,1968,174.33,5.0,21.43,6,High,9.52134826973146,3.064791809485486
51,Delhi,52000,Diesel,Manual,First,22.9,1248,74.0,5.0,4.25,7,Low,10.858998997563564,1.4469189829363254
52,Kolkata,53000,Diesel,Manual,First,17.8,1248,75.0,5.0,3.3,7,Low,10.87804719253426,1.1939224684724346
53,Delhi,65650,Diesel,Manual,First,28.4,1248,74.0,5.0,3.85,8,Low,11.092092879730941,1.3480731482996928
54,Chennai,54000,Petrol,Manual,Third,18.9,1197,82.0,5.0,3.6,6,Low,10.896739325546411,1.2809338454620642
55,Kolkata,39000,Petrol,Manual,First,15.04,1598,103.2,5.0,3.99,6,High,10.571316925111784,1.3837912309017721
56,Kochi,16542,Petrol,Manual,First,25.17,799,53.3,5.0,3.3,4,Low,9.713657880251851,1.1939224684724346
57,Kolkata,32000,Petrol,Manual,First,20.36,1197,78.9,5.0,2.07,11,Low,10.373491181781864,0.7275486072772777
58,Hyderabad,121812,Diesel,Automatic,First,13.29,1995,147.6,5.0,7.75,11,High,11.71023415157243,2.0476928433652555
59,Hyderabad,39300,Petrol,Manual,First,18.2,998,67.1,5.0,2.25,11,Low,10.578979797857352,0.8109302162163288
60,Mumbai,22000,Diesel,Manual,First,13.68,2393,147.8,8.0,16.5,4,Low,9.998797732340453,2.803360380906535
61,Bangalore,72000,Diesel,Manual,First,20.0,1399,68.0,5.0,2.75,11,Low,11.184421397998193,1.0116009116784799
62,Delhi,58000,Petrol,Automatic,First,11.74,1796,186.0,5.0,26.7,6,High,10.968198289528557,3.2846635654062037
63,Pune,65000,Diesel,Manual,Second,15.8,2148,170.0,5.0,10.0,10,High,11.082142548877775,2.302585092994046
64,Chennai,178000,Diesel,Manual,First,25.0,1396,69.0,5.0,2.5,5,Low,12.089538829274222,0.9162907318741551
65,Jaipur,65664,Diesel,Automatic,First,16.55,1968,140.0,5.0,13.5,9,High,11.092306109090387,2.6026896854443837
66,Mumbai,63000,Petrol,Automatic,Second,16.4,1497,78.0,5.0,1.85,14,Low,11.05089000537367,0.6151856390902335
67,Coimbatore,15369,Diesel,Automatic,First,18.2,1950,194.0,5.0,35.67,2,High,9.640107772607312,3.5743099993708003
68,Pune,63000,Diesel,Manual,First,24.52,1248,88.5,7.0,8.15,5,Low,11.05089000537367,2.0980179272527715
69,Mumbai,13000,Diesel,Manual,First,22.1,1396,88.7,5.0,10.5,3,Low,9.472704636443673,2.3513752571634776
70,Mumbai,73000,Petrol,Automatic,First,8.5,4806,500.0,5.0,14.5,13,High,11.198214720130528,2.6741486494265287
71,Mumbai,55729,Diesel,Manual,First,15.1,2179,140.0,7.0,9.65,6,Low,10.928255936745675,2.2669579153508947
72,Kochi,45178,Petrol,Automatic,First,16.95,1197,78.9,5.0,3.48,9,Low,10.71836552166722,1.247032293786383
73,Kochi,56066,Diesel,Manual,First,19.64,1461,108.5,5.0,6.92,6,High,10.93428484717576,1.9344157696295783
74,Coimbatore,37300,Petrol,Automatic,Second,16.5,1198,86.8,5.0,6.46,5,Low,10.526748605631907,1.8656293177945105
75,Delhi,56000,Diesel,Automatic,Second,18.53,1968,187.74,5.0,29.5,7,High,10.933106969717286,3.3843902633457743
76,Jaipur,111111,Diesel,Manual,First,17.8,1399,68.0,5.0,2.0,13,Low,11.618284980627555,0.6931471805599453
77,Chennai,230000,Petrol,Manual,Third,12.4,1998,132.0,8.0,4.5,15,Low,12.345834587905333,1.5040773967762742
78,Hyderabad,104000,Diesel,Manual,First,12.8,2494,102.0,7.0,11.75,9,Low,11.55214617812351,2.463853240590168
79,Hyderabad,87591,Petrol,Manual,First,17.0,1086,62.1,5.0,1.3,16,Low,11.380433531920369,0.26236426446749106
80,Jaipur,95100,Diesel,Manual,First,22.9,1248,74.0,5.0,3.75,9,Low,11.462684248533481,1.3217558399823195
81,Pune,70000,Petrol,Manual,First,17.57,1193,88.7,5.0,4.5,4,Low,11.156250521031495,1.5040773967762742
82,Kochi,54944,Petrol,Manual,First,18.0,1198,86.7,5.0,4.82,5,Low,10.914069763697203,1.572773928062509
83,Hyderabad,70337,Diesel,Manual,First,20.0,1399,68.0,5.0,2.8,9,Low,11.161053255132654,1.0296194171811581
84,Jaipur,99638,Diesel,Manual,First,23.2,1248,73.94,5.0,3.11,8,Low,11.50929889691453,1.1346227261911428
85,Delhi,52000,Petrol,Manual,First,17.8,1497,117.3,5.0,3.25,12,Low,10.858998997563564,1.1786549963416462
86,Delhi,75000,Diesel,Automatic,Second,16.73,1995,218.0,5.0,13.9,10,High,11.225243392518447,2.631888840136646
87,Pune,95980,Petrol,Manual,First,20.36,1197,78.9,5.0,2.25,12,Low,11.471895115412236,0.8109302162163288
88,Bangalore,16000,Petrol,Manual,First,18.9,1197,82.0,5.0,5.75,5,Low,9.680344001221918,1.749199854809259
89,Hyderabad,73745,Petrol,Manual,First,17.0,1086,62.1,5.0,2.1,14,Low,11.208368475293602,0.7419373447293773
90,Mumbai,18949,Petrol,Manual,First,17.8,1198,86.7,5.0,5.0,5,Low,9.849506438669614,1.6094379124341003
91,Delhi,107000,Diesel,Manual,First,13.0,2982,168.5,7.0,16.5,7,Low,11.580584113444043,2.803360380906535
92,Coimbatore,48367,Diesel,Automatic,First,17.68,1968,174.33,5.0,39.58,3,High,10.78657304197918,3.6783239401744194
93,Delhi,57000,Diesel,Manual,First,22.7,1498,89.84,5.0,5.5,8,Low,10.950806546816688,1.7047480922384253
94,Delhi,58000,Diesel,Manual,First,15.1,2179,140.0,7.0,8.1,7,Low,10.968198289528557,2.0918640616783932
95,Kolkata,30000,Diesel,Manual,First,25.8,1498,98.6,5.0,3.5,6,Low,10.308952660644293,1.252762968495368
96,Kolkata,34212,Diesel,Manual,First,22.07,1199,73.9,5.0,2.79,8,High,10.440331738700673,1.0260415958332743
97,Ahmedabad,70002,Diesel,Manual,First,16.2,1493,110.0,5.0,3.45,11,Low,11.156279092051912,1.2383742310432684
98,Bangalore,62000,Petrol,Manual,First,18.9,998,67.1,5.0,4.45,5,Low,11.03488966402723,1.4929040961781488
99,Delhi,62001,Petrol,Manual,First,15.26,1598,103.5,5.0,2.65,11,High,11.034905792929415,0.9745596399981308
100,Pune,78958,Diesel,Manual,Second,23.0,1396,90.0,5.0,3.8,10,Low,11.276671344505923,1.33500106673234
101,Mumbai,30180,Petrol,Manual,First,18.5,1197,82.85,5.0,4.65,7,Low,10.31493473232184,1.536867219599265
102,Pune,32851,Petrol,Manual,First,19.83,1198,67.0,7.0,3.95,4,Low,10.39973746484973,1.3737155789130306
103,Kolkata,30000,Diesel,Automatic,First,14.94,2967,241.4,5.0,9.8,11,High,10.308952660644293,2.2823823856765264
104,Pune,66000,Petrol,Manual,Second,17.0,1197,80.0,5.0,2.7,12,Low,11.097410021008562,0.9932517730102834
105,Coimbatore,93850,Petrol,Manual,First,14.0,796,35.0,5.0,2.41,11,Low,11.449453042014655,0.8796267475025636
106,Ahmedabad,53000,Petrol,Manual,First,17.71,1197,78.9,5.0,3.9,7,Low,10.87804719253426,1.3609765531356006
107,Hyderabad,78000,Diesel,Automatic,Second,14.74,2993,270.9,5.0,24.0,10,High,11.26446410567173,3.1780538303479458
108,Delhi,65000,Diesel,Manual,Second,16.0,2179,140.0,7.0,5.75,9,Low,11.082142548877775,1.749199854809259
109,Kolkata,40000,Diesel,Automatic,First,22.32,1582,126.32,5.0,5.25,7,Low,10.596634733096073,1.6582280766035324
110,Mumbai,30000,Diesel,Automatic,First,11.36,2755,171.5,7.0,19.25,4,Low,10.308952660644293,2.9575110607337933
111,Coimbatore,38053,Petrol,Manual,First,15.1,1196,73.0,5.0,3.91,4,Low,10.546735203808643,1.3635373739972745
112,Bangalore,25500,Petrol,Manual,First,25.4,624,37.5,4.0,2.15,7,Low,10.146433731146518,0.7654678421395714
113,Mumbai,56087,Diesel,Automatic,First,22.69,1995,190.0,5.0,20.75,6,High,10.934659335602204,3.0325462466767075
114,Delhi,71088,Petrol,Manual,First,13.5,1799,130.0,5.0,3.35,11,Low,11.17167382517569,1.208960345836975
115,Ahmedabad,55000,Diesel,Manual,First,12.99,2494,100.6,7.0,11.11,7,Low,10.915088464214607,2.4078456036515385
116,Bangalore,32700,Diesel,Automatic,First,23.3,1984,150.0,5.0,20.0,7,High,10.395130356885344,2.995732273553991
117,Coimbatore,39882,Petrol,Automatic,First,19.15,1198,75.94,5.0,6.55,5,High,10.593680373269637,1.8794650496471605
118,Mumbai,128000,Petrol,Automatic,First,10.8,2497,215.0,5.0,7.0,12,High,11.759785542901755,1.9459101490553132
119,Mumbai,55000,Diesel,Manual,First,24.3,1248,88.5,5.0,7.5,5,Low,10.915088464214607,2.0149030205422647
120,Mumbai,102000,Petrol,Manual,Second,17.0,1086,62.1,5.0,0.85,16,Low,11.532728092266408,-0.16251892949777494
121,Pune,53753,Diesel,Automatic,Second,15.0,2143,107.3,5.0,16.75,7,High,10.892154758385857,2.8183982582710754
122,Kolkata,10250,Diesel,Manual,First,22.0,1582,126.2,5.0,10.95,3,Low,9.235032984566555,2.3933394562625097
123,Pune,43874,Petrol,Manual,First,18.9,998,67.1,5.0,2.45,10,Low,10.689077168485634,0.8960880245566357
124,Coimbatore,32684,Petrol,Automatic,First,21.9,624,37.48,4.0,3.23,4,Low,10.394640940504598,1.172482137234565
125,Kolkata,42000,Diesel,Manual,First,12.05,2179,120.0,8.0,7.75,7,Low,10.645424897265505,2.0476928433652555
126,Kolkata,28352,Petrol,Automatic,First,11.7,1796,178.0,5.0,9.35,12,High,10.252452853404808,2.2353763433005955
127,Pune,89900,CNG,Manual,First,26.6,998,58.16,5.0,3.25,8,Low,11.406453220459712,1.1786549963416462
128,Bangalore,47700,Petrol,Manual,Second,10.8,2354,152.0,5.0,5.25,14,Low,10.772686676876432,1.6582280766035324
129,Pune,55000,Diesel,Automatic,First,21.21,1498,103.2,5.0,7.25,6,High,10.915088464214607,1.9810014688665833
130,Kochi,44285,Petrol,Manual,First,20.73,1373,91.1,5.0,7.47,4,Low,10.698401298243683,2.010894999144726
131,Jaipur,54000,Diesel,Automatic,First,16.0,2179,140.0,7.0,13.25,5,Low,10.896739325546411,2.583997552432231
132,Coimbatore,30232,Petrol,Manual,First,21.1,1197,85.8,5.0,5.81,5,Low,10.316656245029325,1.7595805708638197
133,Hyderabad,88500,Petrol,Manual,First,24.07,998,67.1,5.0,2.6,7,Low,11.390757830996021,0.9555114450274363
134,Kolkata,13372,Petrol,Automatic,First,19.0,2996,362.07,2.0,54.0,4,High,9.500918247539989,3.9889840465642745
135,Kochi,12645,Petrol,Automatic,First,17.0,1591,121.3,5.0,11.5,2,Low,9.445017159104065,2.4423470353692043
136,Chennai,94385,Petrol,Manual,Second,19.7,796,46.3,5.0,1.6,11,Low,11.455137441202835,0.47000362924573563
137,Coimbatore,31821,Diesel,Automatic,First,20.58,1995,143.0,5.0,17.22,6,High,10.36788172817358,2.8460714989995846
138,Mumbai,12000,Petrol,Automatic,First,19.0,1199,88.7,5.0,6.0,6,Low,9.392661928770137,1.791759469228055
139,Delhi,88578,Petrol,Manual,First,13.5,1799,130.0,5.0,3.95,9,Low,11.391638798762143,1.3737155789130306
140,Kochi,44965,Diesel,Automatic,First,19.27,2143,170.0,5.0,17.95,7,High,10.713639688348616,2.8875901149342877
141,Kolkata,45044,Diesel,Manual,First,25.8,1498,98.6,5.0,3.7,7,Low,10.715395068816916,1.308332819650179
142,Kochi,34204,Petrol,Manual,First,22.0,1197,81.8,5.0,5.43,5,Low,10.440097875275846,1.691939133945844
143,Kochi,80759,Petrol,Manual,Third,17.0,1086,62.1,5.0,1.67,13,Low,11.299224689982603,0.5128236264286637
144,Coimbatore,91235,Diesel,Manual,First,11.5,2982,171.0,7.0,13.49,9,Low,11.421193874370635,2.6019486702196644
146,Chennai,83000,Diesel,Manual,First,21.14,1498,103.52,5.0,4.75,8,Low,11.326595886778735,1.55814461804655
147,Kochi,41283,Petrol,Manual,First,20.73,1373,91.1,5.0,9.9,3,Low,10.628206071933391,2.2925347571405443
148,Mumbai,23000,Petrol,Automatic,First,11.05,2894,444.0,4.0,37.0,8,High,10.043249494911286,3.6109179126442243
149,Mumbai,48000,Diesel,Automatic,First,21.76,1995,190.0,5.0,26.5,7,High,10.778956289890028,3.2771447329921766
150,Coimbatore,48214,Diesel,Automatic,First,17.11,1968,174.33,5.0,23.32,6,High,10.783404714295925,3.1493113614822916
151,Chennai,35000,Diesel,Manual,First,22.9,1248,74.0,5.0,6.25,5,Low,10.46310334047155,1.8325814637483102
152,Kolkata,35277,Petrol,Automatic,First,7.81,5461,362.9,5.0,30.0,11,High,10.470986472491525,3.4011973816621555
153,Coimbatore,54620,Diesel,Automatic,First,21.66,1498,103.52,5.0,9.86,5,Low,10.908155395027697,2.288486168614544
154,Pune,136997,Diesel,Automatic,First,17.2,1968,138.1,5.0,8.5,9,Low,11.827714306760283,2.1400661634962708
155,Kochi,14322,Petrol,Manual,First,21.1,814,55.2,5.0,4.23,2,Low,9.569552095566886,1.4422019930581866
156,Jaipur,65634,Diesel,Manual,First,22.07,1199,73.9,5.0,3.5,9,High,11.091849133347846,1.252762968495368
157,Kolkata,6000,Petrol,Manual,First,20.63,1198,67.06,5.0,2.5,5,Low,8.699514748210191,0.9162907318741551
158,Kolkata,33280,Petrol,Manual,First,19.4,1198,86.8,5.0,2.39,8,Low,10.412711894935144,0.8712933659434193
159,Delhi,29000,Petrol,Automatic,First,14.8,1595,120.7,5.0,11.25,8,High,10.275051108968611,2.4203681286504293
160,Kochi,42831,Diesel,Manual,First,26.0,1498,98.6,5.0,7.11,6,Low,10.66501741845733,1.9615022438151495
161,Ahmedabad,90000,Diesel,Manual,First,12.99,2494,100.6,7.0,10.9,5,Low,11.407564949312402,2.388762789235098
162,Ahmedabad,24005,Petrol,Manual,First,20.4,1197,81.8,5.0,6.2,4,Low,10.08601742096504,1.824549292051046
163,Mumbai,32792,Diesel,Manual,First,15.1,2179,140.0,7.0,7.9,9,Low,10.397939862184174,2.066862759472976
164,Kochi,147898,Diesel,Manual,First,22.7,1498,89.84,5.0,4.42,7,Low,11.90427812595702,1.4861396960896067
165,Mumbai,131765,Diesel,Manual,First,13.0,2982,168.5,7.0,13.5,9,Low,11.788775311915373,2.6026896854443837
166,Chennai,65000,Diesel,Automatic,First,21.5,1498,108.5,5.0,6.25,8,High,11.082142548877775,1.8325814637483102
167,Jaipur,66123,Diesel,Manual,Second,20.0,1399,68.0,5.0,2.1,11,Low,11.099271922956497,0.7419373447293773
168,Mumbai,41000,Diesel,Automatic,First,15.3,2993,258.0,5.0,45.0,6,High,10.621327345686446,3.8066624897703196
169,Coimbatore,23550,Diesel,Automatic,First,19.27,2143,167.62,5.0,33.66,4,High,10.066881099444563,3.51631018876266
170,Bangalore,45000,Petrol,Manual,Second,19.4,1198,86.8,5.0,3.65,9,Low,10.714417768752456,1.2947271675944
171,Delhi,60000,Petrol,Manual,First,20.36,1197,78.9,5.0,2.75,8,Low,11.002099841204238,1.0116009116784799
172,Bangalore,44414,Diesel,Automatic,First,17.9,2143,170.0,5.0,42.5,5,High,10.701310014034204,3.7495040759303713
173,Kolkata,1000,Petrol,Manual,First,18.9,1197,81.86,5.0,6.5,2,Low,6.907755278982137,1.8718021769015913
174,Mumbai,62500,Diesel,Automatic,Second,17.68,1968,174.33,5.0,19.0,9,High,11.042921835724492,2.9444389791664403
175,Mumbai,21000,Petrol,Automatic,Second,14.4,1598,103.6,5.0,4.45,8,High,9.95227771670556,1.4929040961781488
176,Jaipur,8525,Diesel,Automatic,Second,16.6,1998,112.0,5.0,23.0,4,High,9.050758302151717,3.1354942159291497
177,Bangalore,29000,Diesel,Manual,First,22.54,1396,88.73,5.0,8.35,7,Low,10.275051108968611,2.122261538862764
178,Mumbai,40000,Diesel,Automatic,First,17.68,1968,174.33,5.0,22.95,7,High,10.596634733096073,3.133317936506554
180,Kochi,53537,Petrol,Automatic,First,13.7,1798,157.75,5.0,6.89,9,Low,10.888128282631826,1.9300710850255671
181,Chennai,216000,Diesel,Manual,Second,17.8,1399,68.0,5.0,1.45,15,Low,12.283033686666302,0.371563556432483
182,Hyderabad,51000,Diesel,Automatic,First,22.48,1995,190.0,5.0,33.5,7,High,10.839580911706463,3.5115454388310208
184,Hyderabad,63000,Diesel,Manual,First,22.07,1199,73.9,5.0,4.2,9,High,11.05089000537367,1.4350845252893227
185,Mumbai,25000,Diesel,Manual,First,19.98,1461,108.5,8.0,6.75,6,Low,10.126631103850338,1.9095425048844386
186,Bangalore,37382,Diesel,Automatic,First,13.0,2143,201.1,5.0,32.0,7,High,10.528944584126123,3.4657359027997265
187,Kochi,24773,Petrol,Manual,First,21.4,1197,83.1,5.0,7.5,4,Low,10.117509629400777,2.0149030205422647
188,Delhi,62000,Diesel,Manual,First,22.32,1582,126.32,5.0,4.6,9,Low,11.03488966402723,1.5260563034950492
189,Kochi,52340,Petrol,Manual,First,19.81,1086,68.05,5.0,4.04,4,Low,10.865516176084137,1.3962446919730587
190,Kochi,56739,Diesel,Manual,First,15.4,1997,120.0,7.0,10.31,5,Low,10.946217083956563,2.333114298028869
191,Coimbatore,36091,Diesel,Automatic,First,12.7,2179,187.7,5.0,55.76,3,High,10.493798805759472,4.0210567664522685
192,Chennai,120000,Diesel,Manual,First,20.0,1399,68.0,5.0,2.6,11,Low,11.695247021764184,0.9555114450274363
193,Mumbai,33000,Diesel,Manual,First,25.47,1248,88.5,7.0,8.5,5,Low,10.404262840448617,2.1400661634962708
194,Ahmedabad,60006,Petrol,Manual,First,12.8,1493,100.0,5.0,2.95,14,Low,11.002199836204571,1.0818051703517284
195,Kolkata,52000,Diesel,Manual,First,25.8,1498,98.6,5.0,3.5,7,Low,10.858998997563564,1.252762968495368
196,Jaipur,43571,Petrol,Manual,First,20.36,1197,78.9,5.0,3.55,6,Low,10.682147070420287,1.2669476034873244
197,Kolkata,50000,Diesel,Manual,First,25.8,1498,98.6,5.0,3.25,8,Low,10.819778284410283,1.1786549963416462
198,Hyderabad,113000,Diesel,Manual,First,17.5,1896,106.0,5.0,4.5,13,Low,11.635143097694478,1.5040773967762742
199,Delhi,90000,Diesel,Manual,First,19.87,1461,83.8,5.0,5.35,7,Low,11.407564949312402,1.6770965609079151
200,Chennai,29000,Diesel,Manual,Second,17.45,1493,100.0,7.0,6.5,4,Low,10.275051108968611,1.8718021769015913
201,Mumbai,20000,Diesel,Manual,First,24.3,1248,88.5,5.0,9.0,5,Low,9.903487552536127,2.1972245773362196
202,Kochi,61012,Petrol,Manual,First,18.6,1197,81.83,5.0,6.0,5,Low,11.018825845119824,1.791759469228055
203,Jaipur,87459,Petrol,Manual,First,14.7,1390,85.0,5.0,2.75,12,Low,11.378925391103238,1.0116009116784799
204,Pune,70500,Petrol,Manual,First,15.64,1193,64.1,5.0,1.5,11,Low,11.16336798880036,0.4054651081081644
205,Delhi,64103,Diesel,Automatic,First,15.73,1968,174.33,5.0,19.9,6,High,11.068246443685663,2.990719731730447
206,Mumbai,76000,Petrol,Automatic,First,14.7,1798,177.5,5.0,10.0,7,Low,11.238488619268468,2.302585092994046
207,Delhi,104000,Diesel,Manual,First,23.59,1364,67.06,5.0,3.0,7,Low,11.55214617812351,1.0986122886681098
208,Kolkata,42001,Petrol,Manual,First,16.1,1493,93.7,5.0,2.11,11,Low,10.645448706505872,0.7466879474879751
209,Kochi,37245,Petrol,Automatic,First,14.8,1595,120.7,5.0,11.96,7,High,10.525272986610377,2.481567748522486
210,Kolkata,45000,Diesel,Manual,First,27.4,1498,98.6,5.0,3.25,8,Low,10.714417768752456,1.1786549963416462
211,Jaipur,117837,Diesel,Manual,Second,22.32,1582,126.32,5.0,4.75,9,Low,11.677057592563973,1.55814461804655
212,Mumbai,30000,Diesel,Manual,First,20.46,1461,83.8,5.0,5.95,7,Low,10.308952660644293,1.7833912195575383
213,Delhi,27057,Petrol,Manual,Second,15.29,1591,121.3,5.0,8.15,6,Low,10.205701030833819,2.0980179272527715
214,Mumbai,8500,Petrol,Automatic,First,20.51,998,67.0,5.0,4.22,5,Low,9.047821442478408,1.4398351280479205
215,Kolkata,30500,Petrol,Automatic,First,11.74,1796,186.0,5.0,10.5,11,High,10.325481962595504,2.3513752571634776
216,Delhi,56000,Diesel,Automatic,First,11.8,2967,246.7,5.0,45.0,9,High,10.933106969717286,3.8066624897703196
217,Pune,44000,Petrol,Manual,Second,19.81,1086,68.05,5.0,2.9,9,Low,10.691944912900398,1.0647107369924282
218,Mumbai,10500,Petrol,Automatic,First,14.3,1598,103.52,5.0,8.9,4,Low,9.259130536145614,2.186051276738094
219,Hyderabad,26000,Petrol,Automatic,First,14.67,1798,177.46,5.0,26.0,4,Low,10.165851817003619,3.258096538021482
220,Coimbatore,25166,Petrol,Manual,First,17.19,1197,81.86,5.0,8.22,3,Low,10.133249156151914,2.1065702090680887
221,Kolkata,64000,Diesel,Manual,Second,25.8,1498,98.6,5.0,3.5,7,Low,11.06663836234181,1.252762968495368
222,Chennai,61000,Petrol,Manual,Second,18.9,998,67.1,5.0,1.25,17,Low,11.018629143155449,0.22314355131420976
